DiseaseName,DiseaseID,PathwayName,PathwayID,InferenceGeneSymbol
22q11 Deletion Syndrome,MESH:D058165,FGFRL1 modulation of FGFR1 signaling,REACT:R-HSA-5658623,FGF8
22q11 Deletion Syndrome,MESH:D058165,Frs2-mediated activation,REACT:R-HSA-170968,FGF8
22q11 Deletion Syndrome,MESH:D058165,FRS-mediated FGFR1 signaling,REACT:R-HSA-5654693,FGF8
22q11 Deletion Syndrome,MESH:D058165,FRS-mediated FGFR2 signaling,REACT:R-HSA-5654700,FGF8
22q11 Deletion Syndrome,MESH:D058165,FRS-mediated FGFR3 signaling,REACT:R-HSA-5654706,FGF8
22q11 Deletion Syndrome,MESH:D058165,FRS-mediated FGFR4 signaling,REACT:R-HSA-5654712,FGF8
22q11 Deletion Syndrome,MESH:D058165,GAB1 signalosome,REACT:R-HSA-180292,FGF8
22q11 Deletion Syndrome,MESH:D058165,Gastrin-CREB signalling pathway via PKC and MAPK,REACT:R-HSA-881907,FGF8
22q11 Deletion Syndrome,MESH:D058165,GRB2 events in EGFR signaling,REACT:R-HSA-179812,FGF8
22q11 Deletion Syndrome,MESH:D058165,IGF1R signaling cascade,REACT:R-HSA-2428924,FGF8
22q11 Deletion Syndrome,MESH:D058165,Immune System,REACT:R-HSA-168256,FGF8
22q11 Deletion Syndrome,MESH:D058165,Innate Immune System,REACT:R-HSA-168249,FGF8
22q11 Deletion Syndrome,MESH:D058165,Insulin receptor signalling cascade,REACT:R-HSA-74751,FGF8
22q11 Deletion Syndrome,MESH:D058165,Interleukin-2 signaling,REACT:R-HSA-451927,FGF8
22q11 Deletion Syndrome,MESH:D058165,"Interleukin-3, 5 and GM-CSF signaling",REACT:R-HSA-512988,FGF8
22q11 Deletion Syndrome,MESH:D058165,Interleukin receptor SHC signaling,REACT:R-HSA-912526,FGF8
22q11 Deletion Syndrome,MESH:D058165,IRS-mediated signalling,REACT:R-HSA-112399,FGF8
22q11 Deletion Syndrome,MESH:D058165,IRS-related events triggered by IGF1R,REACT:R-HSA-2428928,FGF8
22q11 Deletion Syndrome,MESH:D058165,MAPK1/MAPK3 signaling,REACT:R-HSA-5684996,FGF8
22q11 Deletion Syndrome,MESH:D058165,MAPK family signaling cascades,REACT:R-HSA-5683057,FGF8
22q11 Deletion Syndrome,MESH:D058165,MAPK signaling pathway,KEGG:hsa04010,FGF8
22q11 Deletion Syndrome,MESH:D058165,Melanoma,KEGG:hsa05218,FGF8
22q11 Deletion Syndrome,MESH:D058165,NCAM signaling for neurite out-growth,REACT:R-HSA-375165,FGF8
22q11 Deletion Syndrome,MESH:D058165,Negative regulation of FGFR1 signaling,REACT:R-HSA-5654726,FGF8
22q11 Deletion Syndrome,MESH:D058165,Negative regulation of FGFR2 signaling,REACT:R-HSA-5654727,FGF8
22q11 Deletion Syndrome,MESH:D058165,Negative regulation of FGFR3 signaling,REACT:R-HSA-5654732,FGF8
22q11 Deletion Syndrome,MESH:D058165,Negative regulation of FGFR4 signaling,REACT:R-HSA-5654733,FGF8
22q11 Deletion Syndrome,MESH:D058165,Negative regulation of the PI3K/AKT network,REACT:R-HSA-199418,FGF8
22q11 Deletion Syndrome,MESH:D058165,NGF signalling via TRKA from the plasma membrane,REACT:R-HSA-187037,FGF8
22q11 Deletion Syndrome,MESH:D058165,Pathways in cancer,KEGG:hsa05200,FGF8
22q11 Deletion Syndrome,MESH:D058165,Phospholipase C-mediated cascade: FGFR1,REACT:R-HSA-5654219,FGF8
22q11 Deletion Syndrome,MESH:D058165,Phospholipase C-mediated cascade; FGFR2,REACT:R-HSA-5654221,FGF8
22q11 Deletion Syndrome,MESH:D058165,Phospholipase C-mediated cascade; FGFR3,REACT:R-HSA-5654227,FGF8
22q11 Deletion Syndrome,MESH:D058165,Phospholipase C-mediated cascade; FGFR4,REACT:R-HSA-5654228,FGF8
22q11 Deletion Syndrome,MESH:D058165,PI3K/AKT activation,REACT:R-HSA-198203,FGF8
22q11 Deletion Syndrome,MESH:D058165,PI3K/AKT Signaling in Cancer,REACT:R-HSA-2219528,FGF8
22q11 Deletion Syndrome,MESH:D058165,PI3K-Akt signaling pathway,KEGG:hsa04151,FGF8
22q11 Deletion Syndrome,MESH:D058165,PI3K Cascade,REACT:R-HSA-109704,FGF8
22q11 Deletion Syndrome,MESH:D058165,PI-3K cascade:FGFR1,REACT:R-HSA-5654689,FGF8
22q11 Deletion Syndrome,MESH:D058165,PI-3K cascade:FGFR2,REACT:R-HSA-5654695,FGF8
22q11 Deletion Syndrome,MESH:D058165,PI-3K cascade:FGFR3,REACT:R-HSA-5654710,FGF8
22q11 Deletion Syndrome,MESH:D058165,PI-3K cascade:FGFR4,REACT:R-HSA-5654720,FGF8
22q11 Deletion Syndrome,MESH:D058165,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",REACT:R-HSA-6811558,FGF8
22q11 Deletion Syndrome,MESH:D058165,PIP3 activates AKT signaling,REACT:R-HSA-1257604,FGF8
22q11 Deletion Syndrome,MESH:D058165,Prolonged ERK activation events,REACT:R-HSA-169893,FGF8
22q11 Deletion Syndrome,MESH:D058165,RAF/MAP kinase cascade,REACT:R-HSA-5673001,FGF8
22q11 Deletion Syndrome,MESH:D058165,Rap1 signaling pathway,KEGG:hsa04015,FGF8
22q11 Deletion Syndrome,MESH:D058165,Ras signaling pathway,KEGG:hsa04014,FGF8
22q11 Deletion Syndrome,MESH:D058165,Regulation of actin cytoskeleton,KEGG:hsa04810,FGF8
22q11 Deletion Syndrome,MESH:D058165,RET signaling,REACT:R-HSA-8853659,FGF8
22q11 Deletion Syndrome,MESH:D058165,Role of LAT2/NTAL/LAB on calcium mobilization,REACT:R-HSA-2730905,FGF8
22q11 Deletion Syndrome,MESH:D058165,SHC1 events in EGFR signaling,REACT:R-HSA-180336,FGF8
22q11 Deletion Syndrome,MESH:D058165,SHC-mediated cascade:FGFR1,REACT:R-HSA-5654688,FGF8
22q11 Deletion Syndrome,MESH:D058165,SHC-mediated cascade:FGFR2,REACT:R-HSA-5654699,FGF8
22q11 Deletion Syndrome,MESH:D058165,SHC-mediated cascade:FGFR3,REACT:R-HSA-5654704,FGF8
22q11 Deletion Syndrome,MESH:D058165,SHC-mediated cascade:FGFR4,REACT:R-HSA-5654719,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by activated point mutants of FGFR1,REACT:R-HSA-1839122,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by activated point mutants of FGFR3,REACT:R-HSA-1839130,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by EGFR,REACT:R-HSA-177929,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by FGFR,REACT:R-HSA-190236,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by FGFR1,REACT:R-HSA-5654736,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by FGFR1 in disease,REACT:R-HSA-5655302,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by FGFR2,REACT:R-HSA-5654738,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by FGFR2 in disease,REACT:R-HSA-5655253,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by FGFR3,REACT:R-HSA-5654741,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by FGFR3 in disease,REACT:R-HSA-5655332,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by FGFR3 point mutants in cancer,REACT:R-HSA-8853338,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by FGFR4,REACT:R-HSA-5654743,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by FGFR in disease,REACT:R-HSA-1226099,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by GPCR,REACT:R-HSA-372790,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by Insulin receptor,REACT:R-HSA-74752,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by Interleukins,REACT:R-HSA-449147,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by Leptin,REACT:R-HSA-2586552,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by PDGF,REACT:R-HSA-186797,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by SCF-KIT,REACT:R-HSA-1433557,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by the B Cell Receptor (BCR),REACT:R-HSA-983705,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),REACT:R-HSA-2404192,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signaling by VEGF,REACT:R-HSA-194138,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signalling by NGF,REACT:R-HSA-166520,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signalling to ERKs,REACT:R-HSA-187687,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signalling to p38 via RIT and RIN,REACT:R-HSA-187706,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signalling to RAS,REACT:R-HSA-167044,FGF8
22q11 Deletion Syndrome,MESH:D058165,Signal Transduction,REACT:R-HSA-162582,FGF8
22q11 Deletion Syndrome,MESH:D058165,SOS-mediated signalling,REACT:R-HSA-112412,FGF8
22q11 Deletion Syndrome,MESH:D058165,VEGFA-VEGFR2 Pathway,REACT:R-HSA-4420097,FGF8
22q11 Deletion Syndrome,MESH:D058165,VEGFR2 mediated cell proliferation,REACT:R-HSA-5218921,FGF8
"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,"Fatty acid, triacylglycerol, and ketone body metabolism",REACT:R-HSA-535734,DECR1
"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,Metabolic pathways,KEGG:hsa01100,NADK2
"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,Metabolism,REACT:R-HSA-1430728,DECR1
"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,Metabolism of lipids and lipoproteins,REACT:R-HSA-556833,DECR1
"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,Mitochondrial Fatty Acid Beta-Oxidation,REACT:R-HSA-77289,DECR1
"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,REACT:R-HSA-77288,DECR1
"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,Nicotinate and nicotinamide metabolism,KEGG:hsa00760,NADK2
2-Hydroxyglutaricaciduria,MESH:C535306,2-Oxocarboxylic acid metabolism,KEGG:hsa01210,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,Biosynthesis of amino acids,KEGG:hsa01230,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,Butanoate metabolism,KEGG:hsa00650,L2HGDH
2-Hydroxyglutaricaciduria,MESH:C535306,Carbon metabolism,KEGG:hsa01200,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",KEGG:hsa_M00010,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,Citrate cycle (TCA cycle),KEGG:hsa00020,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,"Citrate cycle (TCA cycle, Krebs cycle)",KEGG:hsa_M00009,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,Citric acid cycle (TCA cycle),REACT:R-HSA-71403,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,"Fatty acid, triacylglycerol, and ketone body metabolism",REACT:R-HSA-535734,SLC25A1
2-Hydroxyglutaricaciduria,MESH:C535306,Fatty Acyl-CoA Biosynthesis,REACT:R-HSA-75105,SLC25A1
2-Hydroxyglutaricaciduria,MESH:C535306,Gluconeogenesis,REACT:R-HSA-70263,SLC25A1
2-Hydroxyglutaricaciduria,MESH:C535306,Glucose metabolism,REACT:R-HSA-70326,SLC25A1
2-Hydroxyglutaricaciduria,MESH:C535306,Glutathione metabolism,KEGG:hsa00480,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,REACT:R-HSA-880009,D2HGDH
2-Hydroxyglutaricaciduria,MESH:C535306,Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,REACT:R-HSA-880009,L2HGDH
2-Hydroxyglutaricaciduria,MESH:C535306,Metabolic pathways,KEGG:hsa01100,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,Metabolism,REACT:R-HSA-1430728,D2HGDH
2-Hydroxyglutaricaciduria,MESH:C535306,Metabolism,REACT:R-HSA-1430728,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,Metabolism,REACT:R-HSA-1430728,L2HGDH
2-Hydroxyglutaricaciduria,MESH:C535306,Metabolism,REACT:R-HSA-1430728,SLC25A1
2-Hydroxyglutaricaciduria,MESH:C535306,Metabolism of carbohydrates,REACT:R-HSA-71387,SLC25A1
2-Hydroxyglutaricaciduria,MESH:C535306,Metabolism of lipids and lipoproteins,REACT:R-HSA-556833,SLC25A1
2-Hydroxyglutaricaciduria,MESH:C535306,Peroxisome,KEGG:hsa04146,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,Pyruvate metabolism and Citric Acid (TCA) cycle,REACT:R-HSA-71406,D2HGDH
2-Hydroxyglutaricaciduria,MESH:C535306,Pyruvate metabolism and Citric Acid (TCA) cycle,REACT:R-HSA-71406,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,Pyruvate metabolism and Citric Acid (TCA) cycle,REACT:R-HSA-71406,L2HGDH
2-Hydroxyglutaricaciduria,MESH:C535306,The citric acid (TCA) cycle and respiratory electron transport,REACT:R-HSA-1428517,D2HGDH
2-Hydroxyglutaricaciduria,MESH:C535306,The citric acid (TCA) cycle and respiratory electron transport,REACT:R-HSA-1428517,IDH2
2-Hydroxyglutaricaciduria,MESH:C535306,The citric acid (TCA) cycle and respiratory electron transport,REACT:R-HSA-1428517,L2HGDH
2-Hydroxyglutaricaciduria,MESH:C535306,Triglyceride Biosynthesis,REACT:R-HSA-75109,SLC25A1
2-Methylbutyryl-CoA Dehydrogenase Deficiency,MESH:C566487,Branched-chain amino acid catabolism,REACT:R-HSA-70895,ACADSB
2-Methylbutyryl-CoA Dehydrogenase Deficiency,MESH:C566487,Fatty acid degradation,KEGG:hsa00071,ACADSB
2-Methylbutyryl-CoA Dehydrogenase Deficiency,MESH:C566487,Fatty acid metabolism,KEGG:hsa01212,ACADSB
2-Methylbutyryl-CoA Dehydrogenase Deficiency,MESH:C566487,Metabolic pathways,KEGG:hsa01100,ACADSB
2-Methylbutyryl-CoA Dehydrogenase Deficiency,MESH:C566487,Metabolism,REACT:R-HSA-1430728,ACADSB
2-Methylbutyryl-CoA Dehydrogenase Deficiency,MESH:C566487,Metabolism of amino acids and derivatives,REACT:R-HSA-71291,ACADSB
2-Methylbutyryl-CoA Dehydrogenase Deficiency,MESH:C566487,"Valine, leucine and isoleucine degradation",KEGG:hsa00280,ACADSB
3C syndrome,MESH:C535313,Endocytosis,KEGG:hsa04144,WASHC5
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,Butanoate metabolism,KEGG:hsa00650,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,"Fatty acid, triacylglycerol, and ketone body metabolism",REACT:R-HSA-535734,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,Ketone body metabolism,REACT:R-HSA-74182,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",KEGG:hsa_M00036,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,Metabolic pathways,KEGG:hsa01100,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,Metabolism,REACT:R-HSA-1430728,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,Metabolism of lipids and lipoproteins,REACT:R-HSA-556833,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,Peroxisome,KEGG:hsa04146,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,Synthesis and degradation of ketone bodies,KEGG:hsa00072,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,Synthesis of Ketone Bodies,REACT:R-HSA-77111,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,"Valine, leucine and isoleucine degradation",KEGG:hsa00280,HMGCL
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,Butanoate metabolism,KEGG:hsa00650,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,"C5 isoprenoid biosynthesis, mevalonate pathway",KEGG:hsa_M00095,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,"Fatty acid, triacylglycerol, and ketone body metabolism",REACT:R-HSA-535734,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,Ketone body metabolism,REACT:R-HSA-74182,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,Metabolic pathways,KEGG:hsa01100,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,Metabolism,REACT:R-HSA-1430728,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,Metabolism of lipids and lipoproteins,REACT:R-HSA-556833,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,PPARA activates gene expression,REACT:R-HSA-1989781,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,PPAR signaling pathway,KEGG:hsa03320,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha),REACT:R-HSA-400206,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,Synthesis and degradation of ketone bodies,KEGG:hsa00072,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,Synthesis of Ketone Bodies,REACT:R-HSA-77111,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,Terpenoid backbone biosynthesis,KEGG:hsa00900,HMGCS2
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,"Valine, leucine and isoleucine degradation",KEGG:hsa00280,HMGCS2
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,beta-Oxidation,KEGG:hsa_M00087,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Beta oxidation of butanoyl-CoA to acetyl-CoA,REACT:R-HSA-77352,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,REACT:R-HSA-77346,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,REACT:R-HSA-77350,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,REACT:R-HSA-77310,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,REACT:R-HSA-77348,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Butanoate metabolism,KEGG:hsa00650,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,"Fatty acid biosynthesis, elongation, mitochondria",KEGG:hsa_M00085,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Fatty acid degradation,KEGG:hsa00071,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Fatty acid elongation,KEGG:hsa00062,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Fatty acid metabolism,KEGG:hsa01212,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,"Fatty acid, triacylglycerol, and ketone body metabolism",REACT:R-HSA-535734,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Lysine degradation,KEGG:hsa00310,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",KEGG:hsa_M00032,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Metabolic pathways,KEGG:hsa01100,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Metabolism,REACT:R-HSA-1430728,HADH
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,Metabolism of lipids and lipoproteins,REACT:R-HSA-556833,HADH
