ChemicalName,ChemicalID,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore
10074-G5,C534883,"Infertility, Female",MESH:D007247,,AR,4.51
10074-G5,C534883,"Infertility, Male",MESH:D007248,,AR,4.27
10074-G5,C534883,Insulin Resistance,MESH:D007333,,AR,3.92
10074-G5,C534883,Leukemia,MESH:D007938,,AR,4.33
10074-G5,C534883,"Leukemia, Myeloid, Acute",MESH:D015470,,MYC,4.18
10074-G5,C534883,"Liver Cirrhosis, Experimental",MESH:D008106,,MYC,3.51
10074-G5,C534883,Liver Neoplasms,MESH:D008113,,MYC,3.83
10074-G5,C534883,"Liver Neoplasms, Experimental",MESH:D008114,,MYC,3.93
10074-G5,C534883,Lung Neoplasms,MESH:D008175,,AR,7.9
10074-G5,C534883,Lung Neoplasms,MESH:D008175,,MYC,7.9
10074-G5,C534883,"Lymphoma, Large B-Cell, Diffuse",MESH:D016403,,MYC,4.8
10074-G5,C534883,Medulloblastoma,MESH:D008527,,MYC,4.79
10074-G5,C534883,Myelodysplastic Syndromes,MESH:D009190,,MYC,4.79
10074-G5,C534883,Neoplasm Metastasis,MESH:D009362,,MYC,3.88
10074-G5,C534883,"Neoplasm Recurrence, Local",MESH:D009364,,AR,4.85
10074-G5,C534883,Neoplasms,MESH:D009369,,MYC,3.87
10074-G5,C534883,Neuroblastoma,MESH:D009447,,MYC,4.59
10074-G5,C534883,Neuroectodermal Tumors,MESH:D017599,,MYC,5.79
10074-G5,C534883,Osteosarcoma,MESH:D012516,,MYC,4.71
10074-G5,C534883,Ovarian Neoplasms,MESH:D010051,,MYC,4.17
10074-G5,C534883,Pancreatic Neoplasms,MESH:D010190,,MYC,4.2
10074-G5,C534883,Pheochromocytoma,MESH:D010673,,MAX,6.23
10074-G5,C534883,"Polycystic Kidney, Autosomal Dominant",MESH:D016891,,MYC,5.84
10074-G5,C534883,PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY,OMIM:603688,,EPHB2,7.81
10074-G5,C534883,Prostatic Intraepithelial Neoplasia,MESH:D019048,,AR,5.26
10074-G5,C534883,Prostatic Neoplasms,MESH:D011471,,AR,7.31
10074-G5,C534883,Prostatic Neoplasms,MESH:D011471,,MYC,7.31
10074-G5,C534883,"Prostatic Neoplasms, Castration-Resistant",MESH:D064129,,AR,5.18
10074-G5,C534883,Stomach Neoplasms,MESH:D013274,,MYC,3.87
10074-G5,C534883,Urinary Bladder Neoplasms,MESH:D001749,,MYC,3.99
10074-G5,C534883,Uterine Cervical Neoplasms,MESH:D002583,,MYC,4.73
10074-G5,C534883,Wilms Tumor,MESH:D009396,,MAX,6.02
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Adenocarcinoma,MESH:D000230,,KCNQ1,4.69
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Amphetamine-Related Disorders,MESH:D019969,,FOS,4.15
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Amyotrophic lateral sclerosis 1,MESH:C531617,,FOS,4.62
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Anxiety Disorders,MESH:D001008,,FOS,3.72
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Arthritis, Juvenile",MESH:D001171,,FOS,4.13
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Atrial Fibrillation, Familial, 3",MESH:C563817,,KCNQ1,7.56
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Beckwith-Wiedemann Syndrome,MESH:D001506,,KCNQ1,6.76
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Brain Diseases,MESH:D001927,,KCNQ2,4.87
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Brain Injuries,MESH:D001930,,FOS,3.74
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Breast Neoplasms,MESH:D001943,,FOS,3.19
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Carcinoma, Hepatocellular",MESH:D006528,,FOS,3.3
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Carcinoma, Ovarian Epithelial",MESH:D000077216,,FOS,4.72
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Cell Transformation, Neoplastic",MESH:D002471,,FOS,3.68
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Cholestasis, Extrahepatic",MESH:D001651,,FOS,4.72
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Cocaine-Related Disorders,MESH:D019970,,FOS,3.58
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7,OMIM:613720,,KCNQ2,7.66
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Developmental Disabilities,MESH:D002658,,KCNQ2,5.5
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Diabetes Mellitus, Type 2",MESH:D003924,,KCNQ1,4.6
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Disease Models, Animal",MESH:D004195,,FOS,3.52
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Endometriosis,MESH:D004715,,FOS,3.99
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Epilepsy,MESH:D004827,,FOS,9.06
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Epilepsy,MESH:D004827,,KCNQ2,9.06
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Epilepsy, Benign Neonatal",MESH:D020936,,KCNQ2,7.31
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Fibrous Dysplasia of Bone,MESH:D005357,,FOS,5.73
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Hearing Loss, Noise-Induced",MESH:D006317,,KCNQ1,5.8
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Heat Stroke,MESH:D018883,,FOS,4.82
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Hemorrhage,MESH:D006470,,FOS,3.67
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Hyperalgesia,MESH:D006930,,FOS,3.45
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Hyperkinesis,MESH:D006948,marker/mechanism,,
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Hyperkinesis,MESH:D006948,,FOS,3.58
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Hypertension,MESH:D006973,,FOS,3.17
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Infarction, Middle Cerebral Artery",MESH:D020244,,FOS,4.38
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Intestinal Neoplasms,MESH:D007414,,KCNQ1,5.48
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Jervell-Lange Nielsen Syndrome,MESH:D029593,,KCNQ1,7.22
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"Liver Cirrhosis, Experimental",MESH:D008106,,FOS,3.2
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Long QT Syndrome,MESH:D008133,,KCNQ1,4.86
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Lung Neoplasms,MESH:D008175,,FOS,3.42
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Nervous System Diseases,MESH:D009422,,FOS,8.37
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Nervous System Diseases,MESH:D009422,,KCNQ2,8.37
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Neurodevelopmental Disorders,MESH:D065886,,KCNQ2,5.32
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Neurotoxicity Syndromes,MESH:D020258,,FOS,3.77
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Obesity,MESH:D009765,,FOS,3.66
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Reperfusion Injury,MESH:D015427,,FOS,3.86
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Romano-Ward Syndrome,MESH:D029597,,KCNQ1,7.22
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Seizures,MESH:D012640,marker/mechanism,,
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Seizures,MESH:D012640,,FOS,6.39
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Seizures,MESH:D012640,,KCNQ2,6.39
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"SEIZURES, BENIGN FAMILIAL NEONATAL, 1",OMIM:121200,,KCNQ2,7.66
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,"SEIZURES, BENIGN FAMILIAL NEONATAL, 2",OMIM:121201,,KCNQ3,7.77
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Short QT Syndrome 2,MESH:C566505,,KCNQ1,7.56
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Status Epilepticus,MESH:D013226,,FOS,3.85
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Substance Withdrawal Syndrome,MESH:D013375,,FOS,3.59
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,Trigeminal Neuralgia,MESH:D014277,,FOS,4.98
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,"Abnormalities, Drug-Induced",MESH:D000014,,EPHX1,5.15
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Acute Lung Injury,MESH:D055371,,EPHX1,5.28
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Amphetamine-Related Disorders,MESH:D019969,,EPHX1,5.44
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Autism Spectrum Disorder,MESH:D000067877,,EPHX1,4.91
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Carcinoma,MESH:D002277,,EPHX1,5.06
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,"Carcinoma, Hepatocellular",MESH:D006528,,EPHX1,4.57
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Chemical and Drug Induced Liver Injury,MESH:D056486,,EPHX1,4.12
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Fever,MESH:D005334,,EPHX1,4.92
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,"Hypercholanemia, Familial",MESH:C564336,,EPHX1,7.58
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,"Leukemia, Myeloid, Acute",MESH:D015470,,EPHX1,5.16
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Lung Neoplasms,MESH:D008175,,EPHX1,4.7
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Lymphoma,MESH:D008223,,EPHX1,5.59
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,"Lymphoma, Non-Hodgkin",MESH:D008228,,EPHX1,5.43
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,"Mammary Neoplasms, Animal",MESH:D015674,,EPHX1,5.23
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,"Mammary Neoplasms, Experimental",MESH:D008325,,EPHX1,5.04
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,"Mesothelioma, Malignant",MESH:D000086002,,EPHX1,5.48
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,"Micronuclei, Chromosome-Defective",MESH:D048629,,EPHX1,5.1
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Multiple Myeloma,MESH:D009101,,EPHX1,5.39
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Myocardial Ischemia,MESH:D017202,,EPHX1,4.94
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,,EPHX1,5.41
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Pre-Eclampsia,MESH:D011225,,EPHX1,5.77
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Prostatic Neoplasms,MESH:D011471,,EPHX1,4.52
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,"Pulmonary Disease, Chronic Obstructive",MESH:D029424,,EPHX1,5.55
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Pulmonary Emphysema,MESH:D011656,,EPHX1,6.35
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,Skin Neoplasms,MESH:D012878,,EPHX1,5.19
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Acute Kidney Injury,MESH:D058186,,CYP2C19,4.1
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Adrenocortical Carcinoma,MESH:D018268,,ABCB1,5.4
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Arthritis, Experimental",MESH:D001169,,ABCB1,4.61
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Arthritis, Rheumatoid",MESH:D001172,,ABCB1,4.25
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Atrial Fibrillation,MESH:D001281,,CYP2C19,4.51
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Autism Spectrum Disorder,MESH:D000067877,,ABCB1,9.28
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Autism Spectrum Disorder,MESH:D000067877,,CYP2C19,9.28
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Breast Neoplasms,MESH:D001943,,ABCB1,3.64
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Carcinoma,MESH:D002277,,ABCB1,4.24
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Carcinoma, Hepatocellular",MESH:D006528,,ABCB1,3.75
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,ABCB1,4.34
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Cardiovascular Diseases,MESH:D002318,,CYP2C19,4.54
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Chemical and Drug Induced Liver Injury,MESH:D056486,,ABCB1,6.73
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Chemical and Drug Induced Liver Injury,MESH:D056486,,CYP2C19,6.73
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Colorectal Neoplasms,MESH:D015179,,ABCB1,4.06
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Disease Progression,MESH:D018450,,ABCB1,4.26
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Drug Metabolism, Poor, CYP2C19-Related",MESH:C563703,,CYP2C19,7.4
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,,ABCB1,3.8
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Epilepsy,MESH:D004827,therapeutic,,
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Epilepsy,MESH:D004827,,ABCB1,4.36
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Escherichia coli Infections,MESH:D004927,,ABCB1,5.17
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Esophageal Neoplasms,MESH:D004938,,ABCB1,4.59
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Genetic Predisposition to Disease,MESH:D020022,,ABCB1,12.56
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Genetic Predisposition to Disease,MESH:D020022,,CYP2C19,12.56
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Heart Defects, Congenital",MESH:D006330,,ABCB1,4.58
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Hematologic Neoplasms,MESH:D019337,,ABCB1,5.4
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Hypotension, Orthostatic",MESH:D007024,,ABCB1,4.58
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Inflammatory Bowel Disease 13,MESH:C567384,,ABCB1,7.1
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Kidney Failure, Chronic",MESH:D007676,,CYP2C19,4.9
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Kidney Neoplasms,MESH:D007680,,ABCB1,4.55
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Liver Cirrhosis, Experimental",MESH:D008106,,ABCB1,3.65
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Lymphoma, Large B-Cell, Diffuse",MESH:D016403,,ABCB1,4.95
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Marijuana Abuse,MESH:D002189,,ABCB1,5.68
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Mental Disorders,MESH:D001523,,ABCB1,4.49
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Nausea,MESH:D009325,,ABCB1,3.96
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Neoplasm Metastasis,MESH:D009362,,ABCB1,4.03
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Neoplasms,MESH:D009369,,ABCB1,4.02
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Nervous System Diseases,MESH:D009422,,ABCB1,4.15
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Neuroblastoma,MESH:D009447,,ABCB1,4.74
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Neurotoxicity Syndromes,MESH:D020258,,ABCB1,4.23
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Neutropenia,MESH:D009503,,ABCB1,4.38
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Pain, Postoperative",MESH:D010149,,ABCB1,4.72
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Parkinson Disease,MESH:D010300,,ABCB1,4.26
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Parkinson Disease, Secondary",MESH:D010302,,ABCB1,4.56
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Peripheral Nervous System Diseases,MESH:D010523,,ABCB1,4.23
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Poisoning,MESH:D011041,,ABCB1,4.02
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,,ABCB1,4.59
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Primary Ovarian Insufficiency,MESH:D016649,,CYP2C19,6.15
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Prostatic Neoplasms,MESH:D011471,,CYP2C19,4.0
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Squamous Cell Carcinoma of Head and Neck,MESH:D000077195,,ABCB1,4.92
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Thrombosis,MESH:D013927,,CYP2C19,4.62
"10,11-dihydro-10-hydroxycarbamazepine",C039775,"Translocation, Genetic",MESH:D014178,,ABCB1,5.71
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Vomiting,MESH:D014839,,ABCB1,3.99
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Alopecia,MESH:D000505,,AR,5.19
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Androgen-Insensitivity Syndrome,MESH:D013734,,AR,7.56
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Astrocytoma,MESH:D001254,,AR,5.63
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Autistic Disorder,MESH:D001321,,AR,4.61
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Breast Neoplasms,MESH:D001943,,AR,4.09
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,"Breast Neoplasms, Male",MESH:D018567,,AR,6.59
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,"Bulbospinal neuronopathy, X-linked recessive",MESH:C537017,,AR,7.56
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,"Carcinoma, Hepatocellular",MESH:D006528,,AR,4.21
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,"Diabetes, Gestational",MESH:D016640,,AR,5.75
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,"Genital Diseases, Male",MESH:D005832,,AR,5.71
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Hypertension,MESH:D006973,,AR,4.07
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,"Hypospadias 1, X-Linked",MESH:C567482,,AR,7.56
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,"Infertility, Female",MESH:D007247,,AR,5.2
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,"Infertility, Male",MESH:D007248,,AR,4.96
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Insulin Resistance,MESH:D007333,,AR,4.61
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Leukemia,MESH:D007938,,AR,5.02
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Lung Neoplasms,MESH:D008175,,AR,4.34
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,"Neoplasm Recurrence, Local",MESH:D009364,,AR,5.55
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Prostatic Intraepithelial Neoplasia,MESH:D019048,,AR,5.95
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,Prostatic Neoplasms,MESH:D011471,,AR,4.15
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,"Prostatic Neoplasms, Castration-Resistant",MESH:D064129,,AR,5.88
"10,11-dihydroxy-N-n-propylnorapomorphine",C425777,Hyperkinesis,MESH:D006948,marker/mechanism,,
"10,12-octadecadienoic acid",C094849,Acute Kidney Injury,MESH:D058186,,PPARG,3.66
"10,12-octadecadienoic acid",C094849,Acute Lung Injury,MESH:D055371,,CASP3,10.12
"10,12-octadecadienoic acid",C094849,Acute Lung Injury,MESH:D055371,,PPARG,10.12
"10,12-octadecadienoic acid",C094849,Adenocarcinoma,MESH:D000230,,PPARG,4.07
"10,12-octadecadienoic acid",C094849,Alzheimer Disease,MESH:D000544,,CASP3,9.82
"10,12-octadecadienoic acid",C094849,Alzheimer Disease,MESH:D000544,,PPARG,9.82
"10,12-octadecadienoic acid",C094849,Antiphospholipid Syndrome,MESH:D016736,,PPARG,5.8
"10,12-octadecadienoic acid",C094849,Atherosclerosis,MESH:D050197,,PPARG,4.16
"10,12-octadecadienoic acid",C094849,Barrett Esophagus,MESH:D001471,,PPARG,5.38
"10,12-octadecadienoic acid",C094849,Brain Ischemia,MESH:D002545,,CASP3,3.89
"10,12-octadecadienoic acid",C094849,Calcinosis,MESH:D002114,,CASP3,4.34
"10,12-octadecadienoic acid",C094849,"Carcinoma, Hepatocellular",MESH:D006528,,PPARG,3.61
"10,12-octadecadienoic acid",C094849,Carotid Intimal Medial Thickness 1,MESH:C563733,,PPARG,6.15
"10,12-octadecadienoic acid",C094849,Cerebral Hemorrhage,MESH:D002543,,CASP3,4.03
"10,12-octadecadienoic acid",C094849,Chronobiology Disorders,MESH:D021081,,PPARG,5.56
"10,12-octadecadienoic acid",C094849,"Colitis, Ulcerative",MESH:D003093,,CASP3,4.08
"10,12-octadecadienoic acid",C094849,Colonic Neoplasms,MESH:D003110,,PPARG,4.0
"10,12-octadecadienoic acid",C094849,Colorectal Neoplasms,MESH:D015179,,PPARG,3.92
"10,12-octadecadienoic acid",C094849,Copper-Overload Cirrhosis,MESH:C566858,,CASP3,5.3
"10,12-octadecadienoic acid",C094849,Crohn Disease,MESH:D003424,,PPARG,4.76
"10,12-octadecadienoic acid",C094849,Cryptorchidism,MESH:D003456,,CASP3,4.76
