ChemicalName,ChemicalID,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,,AR,367,protein,Rattus norvegicus,10116.0,"10,11-dihydro-5H-dibenzo(a,d)cycloheptene inhibits the reaction [Metribolone binds to AR protein]"
"10,12-octadecadienoic acid",C094849,,CASP3,836,mRNA,Oryctolagus cuniculus,9986.0,"[9,11-linoleic acid co-treated with 10,12-octadecadienoic acid] results in increased expression of CASP3 mRNA"
"10,12-octadecadienoic acid",C094849,,PPARG,5468,mRNA,Oryctolagus cuniculus,9986.0,"[9,11-linoleic acid co-treated with 10,12-octadecadienoic acid] results in decreased expression of PPARG mRNA"
"10,12-octadecadienoic acid",C094849,,SCD5,79966,mRNA,Oryctolagus cuniculus,9986.0,"[9,11-linoleic acid co-treated with 10,12-octadecadienoic acid] results in increased expression of SCD5 mRNA"
10-(2-pyrazolylethoxy)camptothecin,C534422,,CASP3,836,protein,Homo sapiens,9606.0,10-(2-pyrazolylethoxy)camptothecin results in increased activity of CASP3 protein
10-(2-pyrazolylethoxy)camptothecin,C534422,,CASP8,841,protein,Homo sapiens,9606.0,10-(2-pyrazolylethoxy)camptothecin results in increased activity of CASP8 protein
103D5R,C496879,,AKT1,207,protein,Homo sapiens,9606.0,103D5R results in decreased phosphorylation of AKT1 protein
103D5R,C496879,,HIF1A,3091,protein,Homo sapiens,9606.0,103D5R inhibits the reaction [cobaltous chloride results in increased expression of HIF1A protein]
103D5R,C496879,,HIF1A,3091,protein,Homo sapiens,9606.0,103D5R results in decreased expression of and results in decreased activity of HIF1A protein
103D5R,C496879,,HIF1A,3091,mRNA,Homo sapiens,9606.0,103D5R results in decreased expression of HIF1A mRNA
103D5R,C496879,,MAPK1,5594,protein,Homo sapiens,9606.0,103D5R results in decreased phosphorylation of MAPK1 protein
103D5R,C496879,,MAPK3,5595,protein,Homo sapiens,9606.0,103D5R results in decreased phosphorylation of MAPK3 protein
103D5R,C496879,,MAPK8,5599,protein,Homo sapiens,9606.0,103D5R results in decreased phosphorylation of MAPK8 protein
103D5R,C496879,,SLC2A1,6513,mRNA,Homo sapiens,9606.0,103D5R results in decreased expression of SLC2A1 mRNA
103D5R,C496879,,VEGFA,7422,mRNA,Homo sapiens,9606.0,103D5R results in decreased expression of VEGFA mRNA
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,GP1BA,2811,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [Tetradecanoylphorbol Acetate results in increased expression of GP1BA protein]
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,GP1BA,2811,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [THPO protein results in increased expression of GP1BA protein]
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,GYPA,2993,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [Tetradecanoylphorbol Acetate results in decreased expression of GYPA protein]
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,ITGA2B,3674,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [Tetradecanoylphorbol Acetate results in increased expression of ITGA2B protein]
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,ITGA2B,3674,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [THPO protein results in increased expression of ITGA2B protein]
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,ITGB3,3690,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [Tetradecanoylphorbol Acetate results in increased expression of ITGB3 protein]
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,ITGB3,3690,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [THPO protein results in increased expression of ITGB3 protein]
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,TFEB,7942,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine affects the localization of TFEB protein
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,THPO,7066,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [THPO protein results in increased expression of GP1BA protein]
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,THPO,7066,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [THPO protein results in increased expression of ITGA2B protein]
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,THPO,7066,protein,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [THPO protein results in increased expression of ITGB3 protein]
10-(alpha-diethylaminopropionyl)phenothiazine,C013759,63834-04-8,HAMP,57817,mRNA,Homo sapiens,9606.0,10-(alpha-diethylaminopropionyl)phenothiazine results in decreased expression of HAMP mRNA
10-carboxymethyl-9-acridanone,C026430,38609-97-1,TP53,7157,protein,Homo sapiens,9606.0,10-carboxymethyl-9-acridanone affects the activity of TP53 protein
10-carboxymethyl-9-acridanone,C026430,38609-97-1,TP53,7157,protein,Homo sapiens,9606.0,10-carboxymethyl-9-acridanone metabolite affects the activity of TP53 protein
10-deacetylpaclitaxel,C095360,,ABCB1,5243,protein,Homo sapiens,9606.0,10-deacetylpaclitaxel binds to ABCB1 protein
10-decarbamoylmitomycin C,C067795,26909-37-5,CASP3,836,protein,Homo sapiens,9606.0,10-decarbamoylmitomycin C results in increased activity of CASP3 protein
10-decarbamoylmitomycin C,C067795,26909-37-5,CASP9,842,protein,Homo sapiens,9606.0,10-decarbamoylmitomycin C results in increased activity of CASP9 protein
10-decarbamoylmitomycin C,C067795,26909-37-5,CDKN1A,1026,mRNA,Homo sapiens,9606.0,[10-decarbamoylmitomycin C results in increased stability of TP53 protein] which results in increased expression of CDKN1A mRNA
10-decarbamoylmitomycin C,C067795,26909-37-5,CHEK1,1111,protein,Homo sapiens,9606.0,10-decarbamoylmitomycin C results in decreased expression of and results in decreased stability of CHEK1 protein
10-decarbamoylmitomycin C,C067795,26909-37-5,CHEK1,1111,mRNA,Homo sapiens,9606.0,10-decarbamoylmitomycin C results in decreased expression of CHEK1 mRNA
10-decarbamoylmitomycin C,C067795,26909-37-5,CHEK1,1111,protein,Homo sapiens,9606.0,10-decarbamoylmitomycin C results in decreased expression of CHEK1 protein
10-decarbamoylmitomycin C,C067795,26909-37-5,CHEK1,1111,protein,Homo sapiens,9606.0,carbobenzoxy-leucyl-leucyl-norvalinal inhibits the reaction [10-decarbamoylmitomycin C results in decreased expression of CHEK1 protein]
10-decarbamoylmitomycin C,C067795,26909-37-5,CHEK1,1111,protein,Homo sapiens,9606.0,CHEK1 protein affects the susceptibility to 10-decarbamoylmitomycin C
10-decarbamoylmitomycin C,C067795,26909-37-5,TP53,7157,protein,Homo sapiens,9606.0,10-decarbamoylmitomycin C results in increased stability of TP53 protein
10-decarbamoylmitomycin C,C067795,26909-37-5,TP53,7157,protein,Homo sapiens,9606.0,[10-decarbamoylmitomycin C results in increased stability of TP53 protein] which results in increased expression of CDKN1A mRNA
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,ACHE,43,protein,Mus musculus,10090.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide results in decreased activity of ACHE protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,ACTA1,58,protein,Bos taurus,9913.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to ACTA1 protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,ALB,213,protein,Mus musculus,10090.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to ALB protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,ATP5F1B,506,protein,Mus musculus,10090.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to ATP5F1B protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,AZGP1,563,protein,Homo sapiens,9606.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to AZGP1 protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,BCHE,590,protein,Mus musculus,10090.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide results in decreased activity of BCHE protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,CES1C,13884,protein,Mus musculus,10090.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to CES1C protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,CTRB2,440387,protein,Bos taurus,9913.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to CTRB2 protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,KIF3C,3797,protein,Homo sapiens,9606.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to KIF3C protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,KRT1,3848,protein,Homo sapiens,9606.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to KRT1 protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,SLC25A4,291,protein,Mus musculus,10090.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to SLC25A4 protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,TF,7018,protein,Homo sapiens,9606.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to TF protein
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,TRF,22041,protein,Mus musculus,10090.0,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to TRF protein
10-formyltetrahydropteroylglutamic acid,C010161,2800-34-2,ALDH1L2,160428,protein,Homo sapiens,9606.0,ALDH1L2 protein results in increased metabolism of 10-formyltetrahydropteroylglutamic acid
"10H-3,6-diazaphenothiazine",C000627785,,CASP2,835,protein,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine results in increased activity of CASP2 protein"
"10H-3,6-diazaphenothiazine",C000627785,,CASP6,839,protein,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine results in increased activity of CASP6 protein"
"10H-3,6-diazaphenothiazine",C000627785,,CASP8,841,protein,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine results in increased activity of CASP8 protein"
"10H-3,6-diazaphenothiazine",C000627785,,CASP9,842,protein,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine results in increased activity of CASP9 protein"
10-hydroxycamptothecin,C028098,67656-30-8,BCL2,596,protein,Homo sapiens,9606.0,BCL2 protein affects the susceptibility to 10-hydroxycamptothecin
10-hydroxycamptothecin,C028098,67656-30-8,BCL2L1,598,protein,Homo sapiens,9606.0,BCL2L1 protein affects the susceptibility to 10-hydroxycamptothecin
10-hydroxycamptothecin,C028098,67656-30-8,CASP3,836,protein,Homo sapiens,9606.0,[10-hydroxycamptothecin co-treated with Fluorouracil co-treated with Leucovorin] results in increased activity of CASP3 protein
10-hydroxycamptothecin,C028098,67656-30-8,DDIT3,1649,mRNA,Cricetinae,10026.0,10-hydroxycamptothecin results in increased expression of DDIT3 mRNA
10-hydroxycamptothecin,C028098,67656-30-8,MDM2,4193,protein,Homo sapiens,9606.0,MDM2 protein affects the susceptibility to 10-hydroxycamptothecin
10-hydroxynortriptyline,C013567,1156-99-6,CYP2D6,1565,gene,Homo sapiens,9606.0,CYP2D6 gene mutant form results in increased abundance of 10-hydroxynortriptyline
10-hydroxynortriptyline,C013567,1156-99-6,CYP2D6,1565,gene,Homo sapiens,9606.0,Paroxetine inhibits the reaction [CYP2D6 gene mutant form results in increased abundance of 10-hydroxynortriptyline]
10-hydroxynortriptyline,C013567,1156-99-6,CYP2D6,1565,,,,CYP2D6 affects the chemical synthesis of 10-hydroxynortriptyline
10-hydroxywarfarin,C065719,83219-99-2,CYP2C9,1559,protein,Homo sapiens,9606.0,10-hydroxywarfarin binds to and results in decreased activity of CYP2C9 protein
10-hydroxywarfarin,C065719,83219-99-2,CYP2C9,1559,mRNA,Homo sapiens,9606.0,[10-hydroxywarfarin binds to and results in increased activity of NR1I2 protein] which results in increased expression of CYP2C9 mRNA
10-hydroxywarfarin,C065719,83219-99-2,CYP2C9,1559,protein,Homo sapiens,9606.0,10-hydroxywarfarin inhibits the reaction [[CYP2C9 protein results in increased hydroxylation of Warfarin] which results in increased chemical synthesis of 7-hydroxywarfarin]
10-hydroxywarfarin,C065719,83219-99-2,CYP2C9,1559,gene,Homo sapiens,9606.0,[CYP2C9 gene polymorphism affects the metabolism of Warfarin] which affects the abundance of 10-hydroxywarfarin
10-hydroxywarfarin,C065719,83219-99-2,CYP3A4,1576,mRNA,Homo sapiens,9606.0,[10-hydroxywarfarin binds to and results in increased activity of NR1I2 protein] which results in increased expression of CYP3A4 mRNA
10-hydroxywarfarin,C065719,83219-99-2,CYP3A4,1576,protein,Homo sapiens,9606.0,CYP3A4 protein affects the chemical synthesis of 10-hydroxywarfarin
10-hydroxywarfarin,C065719,83219-99-2,CYP3A4,1576,protein,,,CYP3A4 protein results in increased chemical synthesis of 10-hydroxywarfarin
10-hydroxywarfarin,C065719,83219-99-2,NR1I2,8856,protein,Homo sapiens,9606.0,10-hydroxywarfarin binds to and results in increased activity of NR1I2 protein
10-hydroxywarfarin,C065719,83219-99-2,NR1I2,8856,protein,Homo sapiens,9606.0,[10-hydroxywarfarin binds to and results in increased activity of NR1I2 protein] which results in increased expression of CYP2C9 mRNA
10-hydroxywarfarin,C065719,83219-99-2,NR1I2,8856,protein,Homo sapiens,9606.0,[10-hydroxywarfarin binds to and results in increased activity of NR1I2 protein] which results in increased expression of CYP3A4 mRNA
10-hydroxywarfarin,C065719,83219-99-2,UGT2B7,7364,protein,Homo sapiens,9606.0,10-hydroxywarfarin binds to and results in decreased activity of UGT2B7 protein
10-hydroxywarfarin,C065719,83219-99-2,UGT2B7,7364,protein,Homo sapiens,9606.0,[10-hydroxywarfarin binds to and results in decreased activity of UGT2B7 protein] which results in decreased glucuronidation of Zidovudine
10-hydroxywarfarin,C065719,83219-99-2,UGT2B7,7364,protein,Homo sapiens,9606.0,10-hydroxywarfarin inhibits the reaction [UGT2B7 protein results in increased glucuronidation of Zidovudine]
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,BAX,581,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one affects the localization of BAX protein"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,BCL2,596,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in decreased expression of BCL2 protein"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,BCL2,596,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to [10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in decreased expression of BCL2 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,BCL2L1,598,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in decreased expression of BCL2L1 protein"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,BCL2L1,598,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to [10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in decreased expression of BCL2L1 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,BID,637,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one affects the localization of BID protein"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,BID,637,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one affects the localization of BID protein alternative form"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,BID,637,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to [10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one affects the localization of BID protein alternative form]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP3,836,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one inhibits the reaction [XIAP protein binds to CASP3 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP3,836,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in increased activity of and results in increased cleavage of CASP3 protein"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP3,836,protein,Homo sapiens,9606.0,"[benzoylcarbonyl-aspartyl-glutamyl-valyl-aspartyl-fluoromethyl ketone results in decreased activity of CASP3 protein] which results in decreased susceptibility to 10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP3,836,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to [10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in increased activity of CASP3 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP8,841,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one inhibits the reaction [FADD protein binds to CASP8 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP8,841,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in increased activity of and results in increased cleavage of CASP8 protein"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP8,841,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to 10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP8,841,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to [10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one affects the localization of BID protein alternative form]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP8,841,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to [10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in decreased expression of BCL2L1 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP8,841,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to [10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in decreased expression of BCL2 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP8,841,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to [10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in increased activity of CASP3 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP8,841,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to [10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in increased activity of CASP9 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP9,842,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one inhibits the reaction [XIAP protein binds to CASP9 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP9,842,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in increased activity of and results in increased cleavage of CASP9 protein"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP9,842,protein,Homo sapiens,9606.0,"[benzyloxycarbonyl-leucyl-glutamyl-histidyl-aspartic acid fluoromethyl ketone results in decreased activity of CASP9 protein] which results in decreased susceptibility to 10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP9,842,protein,Homo sapiens,9606.0,"CASP8 protein affects the susceptibility to [10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one results in increased activity of CASP9 protein]"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CYCS,54205,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one affects the localization of CYCS protein"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,DIABLO,56616,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one affects the localization of DIABLO protein"
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,DIABLO,56616,protein,Homo sapiens,9606.0,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one promotes the reaction [XIAP protein binds to DIABLO protein]"
