ChemicalName,ChemicalID,PhenotypeName,PhenotypeID,CoMentionedTerms,Organism,OrganismID,Interaction,InteractionActionsAnatomyTerms,InferenceGeneSymbols
10-(alpha-diethylaminopropionyl)phenothiazine,C013759,63834-04-8,positive regulation of cell death,GO:0010942,,Homo sapiens,9606.0,10-(alpha-diethylaminopropionyl)phenothiazine results in increased positive regulation of cell death,increases^phenotype
10-deacetylpaclitaxel,C095360,,negative regulation of cell population proliferation,GO:0008285,,Homo sapiens,9606.0,10-deacetylpaclitaxel results in increased negative regulation of cell population proliferation,increases^phenotype
10-deacetylpaclitaxel,C095360,,response to antineoplastic agent,GO:0097327,Paclitaxel^D017239^MESH,Homo sapiens,9606.0,[Paclitaxel results in decreased response to antineoplastic agent] which results in decreased susceptibility to 10-deacetylpaclitaxel,decreases^phenotype|decreases^response to substance
10-decarbamoylmitomycin C,C067795,26909-37-5,apoptotic process,GO:0006915,,Homo sapiens,9606.0,10-decarbamoylmitomycin C results in increased apoptotic process,increases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,apoptotic DNA fragmentation,GO:0006309,,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine results in increased apoptotic DNA fragmentation",increases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,apoptotic process,GO:0006915,,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine results in increased apoptotic process",increases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,cell chemotaxis,GO:0060326,,Homo sapiens,9606.0,"10H-3,6-diazaphenothiazine results in decreased cell chemotaxis",decreases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,cellular metabolic process,GO:0044237,,Homo sapiens,9606.0,"10H-3,6-diazaphenothiazine affects cellular metabolic process",affects^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,cellular metabolic process,GO:0044237,,Homo sapiens,9606.0,"10H-3,6-diazaphenothiazine affects cellular metabolic process",affects^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,cellular metabolic process,GO:0044237,,Homo sapiens,9606.0,"10H-3,6-diazaphenothiazine results in decreased cellular metabolic process",decreases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,cellular metabolic process,GO:0044237,,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine affects cellular metabolic process",affects^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,cysteine-type endopeptidase activity involved in apoptotic process,GO:0097153,,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine results in increased cysteine-type endopeptidase activity involved in apoptotic process",increases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,G0 to G1 transition,GO:0045023,"10H-3,6-diazaphenothiazine^C000627785^MESH",Homo sapiens,9606.0,"[10H-3,6-diazaphenothiazine results in increased negative regulation of mitotic cell cycle] which results in decreased G0 to G1 transition",decreases^phenotype|increases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,mitotic S phase,GO:0000084,"10H-3,6-diazaphenothiazine^C000627785^MESH",Homo sapiens,9606.0,"[10H-3,6-diazaphenothiazine results in increased negative regulation of mitotic cell cycle] which results in increased mitotic S phase",increases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,necrotic cell death,GO:0070265,,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine results in increased necrotic cell death",increases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,negative regulation of mitotic cell cycle,GO:0045930,,Homo sapiens,9606.0,"10H-3,6-diazaphenothiazine results in increased negative regulation of mitotic cell cycle",increases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,negative regulation of mitotic cell cycle,GO:0045930,"10H-3,6-diazaphenothiazine^C000627785^MESH",Homo sapiens,9606.0,"[10H-3,6-diazaphenothiazine results in increased negative regulation of mitotic cell cycle] which results in decreased G0 to G1 transition",decreases^phenotype|increases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,negative regulation of mitotic cell cycle,GO:0045930,"10H-3,6-diazaphenothiazine^C000627785^MESH",Homo sapiens,9606.0,"[10H-3,6-diazaphenothiazine results in increased negative regulation of mitotic cell cycle] which results in increased mitotic S phase",increases^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,reactive oxygen species metabolic process,GO:0072593,,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine affects reactive oxygen species metabolic process",affects^phenotype
"10H-3,6-diazaphenothiazine",C000627785,,reactive oxygen species metabolic process,GO:0072593,Reactive Oxygen Species^D017382^MESH,Rattus norvegicus,10116.0,"[10H-3,6-diazaphenothiazine affects reactive oxygen species metabolic process] which results in increased abundance of Reactive Oxygen Species",affects^phenotype|increases^abundance
"10H-3,6-diazaphenothiazine",C000627785,,regulation of mitochondrial membrane potential,GO:0051881,,Rattus norvegicus,10116.0,"10H-3,6-diazaphenothiazine affects regulation of mitochondrial membrane potential",affects^phenotype
"10-hydroperoxy-8,12-octadecadienoic acid",C058335,90540-32-2,lipid metabolic process,GO:0006629,methylmercuric chloride^C004925^MESH,Rattus norvegicus,10116.0,"[methylmercuric chloride affects lipid metabolic process] which results in decreased abundance of 10-hydroperoxy-8,12-octadecadienoic acid",affects^phenotype|decreases^abundance
10-hydroxycamptothecin,C028098,67656-30-8,apoptotic DNA fragmentation,GO:0006309,,Homo sapiens,9606.0,10-hydroxycamptothecin results in increased apoptotic DNA fragmentation,increases^phenotype
10-hydroxycamptothecin,C028098,67656-30-8,apoptotic process,GO:0006915,,Homo sapiens,9606.0,10-hydroxycamptothecin analog results in increased apoptotic process,increases^phenotype
10-hydroxycamptothecin,C028098,67656-30-8,apoptotic process,GO:0006915,Fluorouracil^D005472^MESH|Leucovorin^D002955^MESH,Homo sapiens,9606.0,[10-hydroxycamptothecin co-treated with Fluorouracil co-treated with Leucovorin] results in increased apoptotic process,affects^cotreatment|increases^phenotype
10-hydroxycamptothecin,C028098,67656-30-8,apoptotic process,GO:0006915,,Homo sapiens,9606.0,10-hydroxycamptothecin results in increased apoptotic process,increases^phenotype
10-hydroxycamptothecin,C028098,67656-30-8,apoptotic process,GO:0006915,,Homo sapiens,9606.0,10-hydroxycamptothecin results in increased apoptotic process,increases^phenotype
10-hydroxycamptothecin,C028098,67656-30-8,cell population proliferation,GO:0008283,,Homo sapiens,9606.0,10-hydroxycamptothecin analog affects cell population proliferation,affects^phenotype
10-hydroxycamptothecin,C028098,67656-30-8,cell population proliferation,GO:0008283,,Homo sapiens,9606.0,10-hydroxycamptothecin results in decreased cell population proliferation,decreases^phenotype
10-hydroxycamptothecin,C028098,67656-30-8,cell population proliferation,GO:0008283,,Homo sapiens,9606.0,10-hydroxycamptothecin results in decreased cell population proliferation,decreases^phenotype
10-hydroxycamptothecin,C028098,67656-30-8,cell population proliferation,GO:0008283,olomoucine^C090046^MESH,Homo sapiens,9606.0,olomoucine promotes the reaction [10-hydroxycamptothecin analog affects cell population proliferation],affects^phenotype|increases^reaction
10-hydroxycamptothecin,C028098,67656-30-8,cell population proliferation,GO:0008283,Roscovitine^D000077546^MESH,Homo sapiens,9606.0,Roscovitine promotes the reaction [10-hydroxycamptothecin analog affects cell population proliferation],affects^phenotype|increases^reaction
10-hydroxycamptothecin,C028098,67656-30-8,negative regulation of cell population proliferation,GO:0008285,,Homo sapiens,9606.0,10-hydroxycamptothecin results in increased negative regulation of cell population proliferation,increases^phenotype
10-hydroxycamptothecin,C028098,67656-30-8,negative regulation of mitotic cell cycle,GO:0045930,,Homo sapiens,9606.0,10-hydroxycamptothecin analog results in increased negative regulation of mitotic cell cycle,increases^phenotype
10-hydroxycamptothecin,C028098,67656-30-8,negative regulation of mitotic cell cycle,GO:0045930,,Homo sapiens,9606.0,10-hydroxycamptothecin results in increased negative regulation of mitotic cell cycle,increases^phenotype
10-hydroxydecanoic acid,C000621793,,fatty acid metabolic process,GO:0006631,perfluorooctanoic acid^C023036^MESH,Homo sapiens,9606.0,[perfluorooctanoic acid affects fatty acid metabolic process] which results in increased abundance of 10-hydroxydecanoic acid,affects^phenotype|increases^abundance
10-hydroxydecanoic acid,C000621793,,fatty acid metabolic process,GO:0006631,Tretinoin^D014212^MESH,Mus musculus,10090.0,[Tretinoin affects fatty acid metabolic process] which results in decreased abundance of 10-hydroxydecanoic acid,affects^phenotype|decreases^abundance
10-hydroxywarfarin,C065719,83219-99-2,xenobiotic glucuronidation,GO:0052697,,Homo sapiens,9606.0,10-hydroxywarfarin results in decreased xenobiotic glucuronidation,decreases^phenotype
10-hydroxywarfarin,C065719,83219-99-2,xenobiotic glucuronidation,GO:0052697,Zidovudine^D015215^MESH,Homo sapiens,9606.0,[10-hydroxywarfarin results in decreased xenobiotic glucuronidation] which results in decreased glucuronidation of Zidovudine,decreases^glucuronidation|decreases^phenotype
10-hydroxywarfarin,C065719,83219-99-2,xenobiotic glucuronidation,GO:0052697,,Rattus norvegicus,10116.0,10-hydroxywarfarin results in decreased xenobiotic glucuronidation,decreases^phenotype
10-hydroxywarfarin,C065719,83219-99-2,xenobiotic glucuronidation,GO:0052697,Zidovudine^D015215^MESH,Rattus norvegicus,10116.0,[10-hydroxywarfarin results in decreased xenobiotic glucuronidation] which results in decreased glucuronidation of Zidovudine,decreases^glucuronidation|decreases^phenotype
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,nitric oxide transport,GO:0030185,Lipopolysaccharides^D008070^MESH|Nitric Oxide^D009569^MESH,Mus musculus,10090.0,"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one inhibits the reaction [[Lipopolysaccharides affects nitric oxide transport] which results in increased export of Nitric Oxide]",affects^phenotype|decreases^reaction|increases^export
10-nitro-oleic acid,C521487,,glutathione metabolic process,GO:0006749,,Homo sapiens,9606.0,10-nitro-oleic acid results in increased glutathione metabolic process,increases^phenotype
10-nitro-oleic acid,C521487,,glutathione metabolic process,GO:0006749,Glutathione^D005978^MESH,Homo sapiens,9606.0,[10-nitro-oleic acid results in increased glutathione metabolic process] which results in decreased abundance of Glutathione,decreases^abundance|increases^phenotype
10-nitro-oleic acid,C521487,,glutathione metabolic process,GO:0006749,Glutathione Disulfide^D019803^MESH,Homo sapiens,9606.0,[10-nitro-oleic acid results in increased glutathione metabolic process] which results in increased abundance of Glutathione Disulfide,increases^abundance|increases^phenotype
10-nitro-oleic acid,C521487,,negative regulation of cell migration,GO:0030336,,Homo sapiens,9606.0,10-nitro-oleic acid results in increased negative regulation of cell migration,increases^phenotype
10-nitro-oleic acid,C521487,,negative regulation of cell population proliferation,GO:0008285,,Homo sapiens,9606.0,10-nitro-oleic acid results in increased negative regulation of cell population proliferation,increases^phenotype
10-nitro-oleic acid,C521487,,negative regulation of cell population proliferation,GO:0008285,Probenecid^D011339^MESH,Homo sapiens,9606.0,Probenecid promotes the reaction [10-nitro-oleic acid results in increased negative regulation of cell population proliferation],increases^phenotype|increases^reaction
10-nitro-oleic acid,C521487,,negative regulation of mitotic cell cycle,GO:0045930,,Homo sapiens,9606.0,10-nitro-oleic acid results in increased negative regulation of mitotic cell cycle,increases^phenotype
10-nitro-oleic acid,C521487,,positive regulation of cell population proliferation,GO:0008284,TNF^7124^GENE,Homo sapiens,9606.0,10-nitro-oleic acid inhibits the reaction [TNF protein results in increased positive regulation of cell population proliferation],decreases^reaction|increases^phenotype
10-nitro-oleic acid,C521487,,positive regulation of NF-kappaB transcription factor activity,GO:0051092,TNF^7124^GENE,Homo sapiens,9606.0,10-nitro-oleic acid inhibits the reaction [TNF protein results in increased positive regulation of NF-kappaB transcription factor activity],decreases^reaction|increases^phenotype
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,apoptotic process,GO:0006915,,Homo sapiens,9606.0,10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate results in increased apoptotic process,increases^phenotype
10-propargyl-10-deazaaminopterin,C418863,,apoptotic process,GO:0006915,Cytarabine^D003561^MESH,Homo sapiens,9606.0,[Cytarabine co-treated with 10-propargyl-10-deazaaminopterin] results in increased apoptotic process,affects^cotreatment|increases^phenotype
10-propargyl-10-deazaaminopterin,C418863,,apoptotic process,GO:0006915,Gemcitabine^D000093542^MESH,Mus musculus,10090.0,[10-propargyl-10-deazaaminopterin co-treated with Gemcitabine] results in increased apoptotic process,affects^cotreatment|increases^phenotype
10-propargyl-10-deazaaminopterin,C418863,,cell cycle,GO:0007049,Gemcitabine^D000093542^MESH,Mus musculus,10090.0,[10-propargyl-10-deazaaminopterin co-treated with Gemcitabine] affects cell cycle,affects^cotreatment|affects^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,apoptotic process,GO:0006915,,Homo sapiens,9606.0,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased apoptotic process",increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,apoptotic process,GO:0006915,Acetylcysteine^D000111^MESH,Homo sapiens,9606.0,"Acetylcysteine inhibits the reaction [10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased apoptotic process]",decreases^reaction|increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,cellular metabolic process,GO:0044237,,Homo sapiens,9606.0,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in decreased cellular metabolic process",decreases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,cellular response to DNA damage stimulus,GO:0006974,,Homo sapiens,9606.0,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased cellular response to DNA damage stimulus",increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,cellular response to DNA damage stimulus,GO:0006974,,Homo sapiens,9606.0,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased cellular response to DNA damage stimulus",increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,cellular response to DNA damage stimulus,GO:0006974,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH",Homo sapiens,9606.0,"[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased cellular response to DNA damage stimulus] which results in decreased DNA biosynthetic process",decreases^phenotype|increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,cellular response to DNA damage stimulus,GO:0006974,H2AX^3014^GENE,Homo sapiens,9606.0,"[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased cellular response to DNA damage stimulus] which results in increased expression of H2AX protein",increases^expression|increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,cellular response to DNA damage stimulus,GO:0006974,H2AX^3014^GENE,Homo sapiens,9606.0,"[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased cellular response to DNA damage stimulus] which results in increased expression of H2AX protein",increases^expression|increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,DNA binding,GO:0003677,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH",Homo sapiens,9606.0,"[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity] which results in increased DNA binding",increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,DNA biosynthetic process,GO:0071897,,Homo sapiens,9606.0,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in decreased DNA biosynthetic process",decreases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,DNA biosynthetic process,GO:0071897,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH",Homo sapiens,9606.0,"[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased cellular response to DNA damage stimulus] which results in decreased DNA biosynthetic process",decreases^phenotype|increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",GO:0003918,,Homo sapiens,9606.0,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",GO:0003918,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH",Homo sapiens,9606.0,"[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone results in increased DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity] which results in increased DNA binding",increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,G0 to G1 transition,GO:0045023,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH",Homo sapiens,9606.0,"[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects mitotic cell cycle process] which affects G0 to G1 transition",affects^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,G0 to G1 transition,GO:0045023,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH|Acetylcysteine^D000111^MESH",Homo sapiens,9606.0,"Acetylcysteine inhibits the reaction [[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects mitotic cell cycle process] which affects G0 to G1 transition]",affects^phenotype|decreases^reaction
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,G0 to G1 transition,GO:0045023,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH|benzoylcarbonyl-aspartyl-glutamyl-valyl-aspartyl-fluoromethyl ketone^C110772^MESH",Homo sapiens,9606.0,"benzoylcarbonyl-aspartyl-glutamyl-valyl-aspartyl-fluoromethyl ketone inhibits the reaction [[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects mitotic cell cycle process] which affects G0 to G1 transition]",affects^phenotype|decreases^reaction
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,G0 to G1 transition,GO:0045023,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH|benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone^C096713^MESH",Homo sapiens,9606.0,"benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone inhibits the reaction [[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects mitotic cell cycle process] which affects G0 to G1 transition]",affects^phenotype|decreases^reaction
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,mitotic cell cycle process,GO:1903047,,Homo sapiens,9606.0,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects mitotic cell cycle process",affects^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,mitotic cell cycle process,GO:1903047,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH",Homo sapiens,9606.0,"[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects mitotic cell cycle process] which affects G0 to G1 transition",affects^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,mitotic cell cycle process,GO:1903047,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH|Acetylcysteine^D000111^MESH",Homo sapiens,9606.0,"Acetylcysteine inhibits the reaction [[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects mitotic cell cycle process] which affects G0 to G1 transition]",affects^phenotype|decreases^reaction
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,mitotic cell cycle process,GO:1903047,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH|benzoylcarbonyl-aspartyl-glutamyl-valyl-aspartyl-fluoromethyl ketone^C110772^MESH",Homo sapiens,9606.0,"benzoylcarbonyl-aspartyl-glutamyl-valyl-aspartyl-fluoromethyl ketone inhibits the reaction [[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects mitotic cell cycle process] which affects G0 to G1 transition]",affects^phenotype|decreases^reaction
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,mitotic cell cycle process,GO:1903047,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone^C471674^MESH|benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone^C096713^MESH",Homo sapiens,9606.0,"benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone inhibits the reaction [[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects mitotic cell cycle process] which affects G0 to G1 transition]",affects^phenotype|decreases^reaction
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,protein-DNA complex,GO:0032993,TOP2A^7153^GENE,Homo sapiens,9606.0,"[10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone binds to and results in increased activity of TOP2A protein] which results in increased protein-DNA complex",affects^binding|increases^activity|increases^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,regulation of mitochondrial membrane potential,GO:0051881,,Homo sapiens,9606.0,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects regulation of mitochondrial membrane potential",affects^phenotype
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,regulation of mitochondrial membrane potential,GO:0051881,Acetylcysteine^D000111^MESH,Homo sapiens,9606.0,"Acetylcysteine inhibits the reaction [10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone affects regulation of mitochondrial membrane potential]",affects^phenotype|decreases^reaction
"1,10-phenanthroline",C025205,66-71-7,apoptotic process,GO:0006915,"9,10-phenanthrenequinone^C005399^MESH",Homo sapiens,9606.0,"1,10-phenanthroline inhibits the reaction [9,10-phenanthrenequinone results in increased apoptotic process]",decreases^reaction|increases^phenotype
"1,10-phenanthroline",C025205,66-71-7,apoptotic process,GO:0006915,Butylated Hydroxytoluene^D002084^MESH,Homo sapiens,9606.0,"1,10-phenanthroline inhibits the reaction [Butylated Hydroxytoluene results in increased apoptotic process]",decreases^reaction|increases^phenotype
