GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Cardiomyopathies,MESH:D009202,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Celiac Disease,MESH:D002446,0,,1,LRAT
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Cerebral Palsy,MESH:D002547,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Chemical and Drug Induced Liver Injury,MESH:D056486,0,,1,LRAT
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Chromosome 22, microdeletion 22 q11",MESH:C536797,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Colitis,MESH:D003092,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Conjunctivitis,MESH:D003231,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Dermatitis, Irritant",MESH:D017453,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Diabetes Mellitus, Type 2",MESH:D003924,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Drug Overdose,MESH:D062787,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Epilepsy,MESH:D004827,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Eye Diseases, Hereditary",MESH:D015785,0,,1,LRAT
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Heart Failure,MESH:D006333,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Hemolysis,MESH:D006461,1,Viper Venoms,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Hemorrhage,MESH:D006470,1,Viper Venoms,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Hyperalgesia,MESH:D006930,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Hypercalcemia,MESH:D006934,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Hyperparathyroidism, Secondary",MESH:D006962,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Hypertension,MESH:D006973,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Hypocalcemia,MESH:D006996,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Hypoparathyroidism,MESH:D007011,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Hypotension,MESH:D007022,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Inflammation,MESH:D007249,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Kidney Diseases,MESH:D007674,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Kidney Tubular Necrosis, Acute",MESH:D007683,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Leber Congenital Amaurosis,MESH:D057130,0,,1,LRAT
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Leber Congenital Amaurosis 14,MESH:C567636,0,,1,LRAT
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",MESH:D015464,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,LRAT
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Lymphoma, Non-Hodgkin",MESH:D008228,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Malabsorption Syndromes,MESH:D008286,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Malaria,MESH:D008288,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Malignant Hyperthermia,MESH:D008305,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Mercury Poisoning, Nervous System",MESH:D020262,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Metabolic Syndrome,MESH:D024821,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Micronuclei, Chromosome-Defective",MESH:D048629,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Mitochondrial Diseases,MESH:D028361,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Movement Disorders,MESH:D009069,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Muscular Diseases,MESH:D009135,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Myocardial Reperfusion Injury,MESH:D015428,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Necrosis,MESH:D009336,1,Viper Venoms,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Neoplasms,MESH:D009369,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Nephrocalcinosis,MESH:D009397,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Nephrolithiasis,MESH:D053040,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Nerve Compression Syndromes,MESH:D009408,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Neurodegenerative Diseases,MESH:D019636,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Neurologic Manifestations,MESH:D009461,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Neurotoxicity Syndromes,MESH:D020258,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Optic Atrophy, Hereditary, Leber",MESH:D029242,0,,1,LRAT
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Optic Neuritis,MESH:D009902,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Osteoporosis,MESH:D010024,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Osteoporosis, Postmenopausal",MESH:D015663,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Pain,MESH:D010146,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Pain, Postoperative",MESH:D010149,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Peptic Ulcer,MESH:D010437,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Periodontitis,MESH:D010518,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Peripheral Nervous System Diseases,MESH:D010523,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Polyneuropathies,MESH:D011115,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Polyradiculopathy,MESH:D011128,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Postoperative Complications,MESH:D011183,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Pulpitis,MESH:D011671,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Renal Insufficiency,MESH:D051437,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Retinitis Pigmentosa,MESH:D012174,0,,1,LRAT
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Rhabdomyolysis,MESH:D012206,1,Viper Venoms,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Rickets,MESH:D012279,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Scrapie,MESH:D012608,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Seizures,MESH:D012640,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Sinus Arrest, Cardiac",MESH:D054138,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Spasm,MESH:D013035,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Status Epilepticus,MESH:D013226,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Stroke,MESH:D020521,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Tachycardia, Ventricular",MESH:D017180,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Urinary Bladder Diseases,MESH:D001745,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Vasospasm, Intracranial",MESH:D020301,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Ventricular Fibrillation,MESH:D014693,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Ventricular Premature Complexes,MESH:D018879,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Vitamin A Deficiency,MESH:D014802,0,,1,LRAT
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Water-Electrolyte Imbalance,MESH:D014883,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Weight Gain,MESH:D015430,1,Calcium,0,
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process",GO:1903100,"Corneal Dystrophy, Fleck",MESH:C563256,0,,1,PIKFYVE
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process",GO:1902635,Melanoma,MESH:D008545,0,,1,PIP4K2A
2'-deoxyribonucleotide biosynthetic process,GO:0009265,"Acidosis, Lactic",MESH:D000140,0,,1,RRM2B
2'-deoxyribonucleotide biosynthetic process,GO:0009265,Adenocarcinoma of Lung,MESH:D000077192,0,,2,RRM1|RRM2
2'-deoxyribonucleotide biosynthetic process,GO:0009265,Adrenocortical Carcinoma,MESH:D018268,0,,1,RRM1
2'-deoxyribonucleotide biosynthetic process,GO:0009265,"Carcinoma, Hepatocellular",MESH:D006528,0,,2,RRM1|RRM2
2'-deoxyribonucleotide biosynthetic process,GO:0009265,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,0,,1,RRM1
2'-deoxyribonucleotide biosynthetic process,GO:0009265,Colorectal Neoplasms,MESH:D015179,0,,1,RRM2
2'-deoxyribonucleotide biosynthetic process,GO:0009265,"Disease Models, Animal",MESH:D004195,0,,2,RRM1|RRM2
2'-deoxyribonucleotide biosynthetic process,GO:0009265,Disease Progression,MESH:D018450,0,,1,RRM1
2'-deoxyribonucleotide biosynthetic process,GO:0009265,Kidney Diseases,MESH:D007674,0,,1,RRM2B
2'-deoxyribonucleotide biosynthetic process,GO:0009265,MITOCHONDRIAL DNA DEPLETION SYNDROME 8A (ENCEPHALOMYOPATHIC TYPE WITH RENAL TUBULOPATHY),OMIM:612075,0,,1,RRM2B
2'-deoxyribonucleotide biosynthetic process,GO:0009265,Mitochondrial Myopathies,MESH:D017240,0,,1,RRM2B
2'-deoxyribonucleotide biosynthetic process,GO:0009265,Muscle Hypotonia,MESH:D009123,0,,1,RRM2B
2'-deoxyribonucleotide biosynthetic process,GO:0009265,Neural Tube Defects,MESH:D009436,0,,1,RRM1
2'-deoxyribonucleotide biosynthetic process,GO:0009265,Polycystic Ovary Syndrome,MESH:D011085,0,,1,RRM2
2'-deoxyribonucleotide biosynthetic process,GO:0009265,"Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 5",MESH:C567768,0,,1,RRM2B
2'-deoxyribonucleotide biosynthetic process,GO:0009265,Visceral myopathy familial external ophthalmoplegia,MESH:C536350,0,,1,RRM2B
[2Fe-2S] cluster assembly,GO:0044571,"Anemia, Sideroblastic",MESH:D000756,0,,1,GLRX5
[2Fe-2S] cluster assembly,GO:0044571,"Anemia, Sideroblastic, Pyridoxine-Refractory, Autosomal Recessive",MESH:C567145,0,,1,GLRX5
[2Fe-2S] cluster assembly,GO:0044571,Cardiomegaly,MESH:D006332,0,,1,GLRX3
[2Fe-2S] cluster assembly,GO:0044571,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 19,OMIM:615595,0,,1,LYRM4
[2Fe-2S] cluster assembly,GO:0044571,Friedreich Ataxia,MESH:D005621,0,,1,FXN
[2Fe-2S] cluster assembly,GO:0044571,Friedreich Ataxia 1,MESH:C565561,0,,1,FXN
[2Fe-2S] cluster assembly,GO:0044571,Mitochondrial Myopathies,MESH:D017240,0,,1,FDX2
[2Fe-2S] cluster assembly,GO:0044571,"Myopathy with Lactic Acidosis, Hereditary",MESH:C564972,0,,1,ISCU
[2Fe-2S] cluster assembly,GO:0044571,Neurobehavioral Manifestations,MESH:D019954,0,,1,FXN
2-oxobutyrate catabolic process,GO:0019606,Refsum Disease,MESH:D012035,0,,1,PHYH
2-oxoglutarate metabolic process,GO:0006103,2-Hydroxyglutaricaciduria,MESH:C535306,1,alpha-hydroxyglutarate,3,D2HGDH|IDH2|L2HGDH
2-oxoglutarate metabolic process,GO:0006103,"Abnormalities, Drug-Induced",MESH:D000014,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,"Abortion, Spontaneous",MESH:D000022,0,,1,COL6A1
2-oxoglutarate metabolic process,GO:0006103,Acute Kidney Injury,MESH:D058186,3,Diquat|Isoproterenol|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Acute Lung Injury,MESH:D055371,3,Antioxidants|Isoproterenol|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Adams-Stokes Syndrome,MESH:D000219,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Adenoviridae Infections,MESH:D000257,1,Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,Ageusia,MESH:D000370,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Albuminuria,MESH:D000419,1,Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,Alpha-ketoglutarate dehydrogenase deficiency,MESH:C536582,0,,1,OGDH
2-oxoglutarate metabolic process,GO:0006103,"Amino Acid Metabolism, Inborn Errors",MESH:D000592,0,,1,D2HGDH
2-oxoglutarate metabolic process,GO:0006103,"Anemia, Sickle Cell",MESH:D000755,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Angina Pectoris,MESH:D000787,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Angioedema,MESH:D000799,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,MESH:D056648,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Antiphospholipid Syndrome,MESH:D016736,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Anxiety Disorders,MESH:D001008,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Arrest of spermatogenesis,MESH:C536875,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,"Arrhythmias, Cardiac",MESH:D001145,3,Hydroxychloroquine|Isoproterenol|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,"Arthritis, Experimental",MESH:D001169,1,Ketoglutaric Acids,0,
2-oxoglutarate metabolic process,GO:0006103,"Arthritis, Psoriatic",MESH:D015535,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,"Arthritis, Rheumatoid",MESH:D001172,2,Hydroxychloroquine|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Asthma,MESH:D001249,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Atherosclerosis,MESH:D050197,2,Catechin|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Atrial Fibrillation,MESH:D001281,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Atrial Flutter,MESH:D001282,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Atrial Standstill,MESH:C563984,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Atrioventricular Block,MESH:D054537,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Behcet Syndrome,MESH:D001528,1,Antioxidants,0,
2-oxoglutarate metabolic process,GO:0006103,Bethlem myopathy,MESH:C535436,0,,1,COL6A1
2-oxoglutarate metabolic process,GO:0006103,Bone Resorption,MESH:D001862,1,Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,Bradycardia,MESH:D001919,2,Isoproterenol|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Brain Edema,MESH:D001929,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Brain Ischemia,MESH:D002545,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Breast Neoplasms,MESH:D001943,3,Catechin|Niclosamide|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Bronchial Diseases,MESH:D001982,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Bronchopulmonary Dysplasia,MESH:D001997,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,"Carcinoma, Hepatocellular",MESH:D006528,2,Niclosamide|toosendanin,2,AADAT|IDH1
2-oxoglutarate metabolic process,GO:0006103,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Cardiac Conduction System Disease,MESH:D000075224,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,"Cardiac Output, Low",MESH:D002303,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Cardiomegaly,MESH:D006332,2,Isoproterenol|Oxygen,1,IDH2
2-oxoglutarate metabolic process,GO:0006103,Cardiomyopathies,MESH:D009202,3,Hydroxychloroquine|Isoproterenol|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,"Cardiomyopathy, Hypertrophic",MESH:D002312,2,Isoproterenol|Oxygen,1,IDH2
2-oxoglutarate metabolic process,GO:0006103,"Cardiomyopathy, Restrictive",MESH:D002313,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Cardiotoxicity,MESH:D066126,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,"Cell Transformation, Neoplastic",MESH:D002471,2,Catechin|Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,"Cell Transformation, Viral",MESH:D002472,1,Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,Central Nervous System Diseases,MESH:D002493,0,,1,IDH2
2-oxoglutarate metabolic process,GO:0006103,Cerebral Hemorrhage,MESH:D002543,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Cerebral Infarction,MESH:D002544,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Cestode Infections,MESH:D002590,1,Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,Chemical and Drug Induced Liver Injury,MESH:D056486,5,Catechin|Diquat|Isoproterenol|Oxygen|toosendanin,3,GOT1|GPT|OGDH
2-oxoglutarate metabolic process,GO:0006103,Chest Pain,MESH:D002637,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Cholangiocarcinoma,MESH:D018281,0,,2,IDH1|IDH2
2-oxoglutarate metabolic process,GO:0006103,Chondroma,MESH:D002812,1,alpha-hydroxyglutarate,2,IDH1|IDH2
2-oxoglutarate metabolic process,GO:0006103,Chromosome Breakage,MESH:D019457,3,alpha-hydroxyglutarate|Catechin|Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Ciliophora Infections,MESH:D016770,1,Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,Cluster Headache,MESH:D003027,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Cognition Disorders,MESH:D003072,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Colonic Diseases,MESH:D003108,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Colonic Neoplasms,MESH:D003110,1,Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,Colorectal Neoplasms,MESH:D015179,2,Antioxidants|Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,Coma,MESH:D003128,2,Diquat|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Congenital Abnormalities,MESH:D000013,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Connective Tissue Diseases,MESH:D003240,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Coronary Vasospasm,MESH:D003329,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Coronavirus Infections,MESH:D018352,1,Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,COVID-19,MESH:D000086382,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Craniofacial Abnormalities,MESH:D019465,1,Diquat,1,IDH2
2-oxoglutarate metabolic process,GO:0006103,Cyanosis,MESH:D003490,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Cystic Fibrosis,MESH:D003550,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Cystitis,MESH:D003556,2,Catechin|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,"Death, Sudden",MESH:D003645,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,"Death, Sudden, Cardiac",MESH:D016757,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Deglutition Disorders,MESH:D003680,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Dengue,MESH:D003715,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Dermatitis,MESH:D003872,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,"Dermatitis, Contact",MESH:D003877,1,Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,Dermatomyositis,MESH:D003882,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Diabetic Neuropathies,MESH:D003929,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Diarrhea,MESH:D003967,1,Diquat,0,
2-oxoglutarate metabolic process,GO:0006103,Diplopia,MESH:D004172,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,"Disease Models, Animal",MESH:D004195,3,Diquat|Isoproterenol|Oxygen,1,IDH2
2-oxoglutarate metabolic process,GO:0006103,Disease Progression,MESH:D018450,1,Oxygen,1,IDH3B
2-oxoglutarate metabolic process,GO:0006103,"Diverticulitis, Colonic",MESH:D004239,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Dizziness,MESH:D004244,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,4,Diquat|Hydroxychloroquine|Isoproterenol|Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,Dysbiosis,MESH:D064806,1,Diquat,0,
2-oxoglutarate metabolic process,GO:0006103,Dyspnea,MESH:D004417,1,Oxygen,0,
